head_cam_distance,gaze_distance,face_detection_confidence,engagement
3.490620691135272864e+02,1.031792890872151247e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.439025297801737793e+02,1.012570158569373149e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.375904742432870194e+02,4.277673136619828398e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.405503195823646365e+02,3.271215064637551251e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.486396433030419644e+02,3.541079967350117386e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.622002666977689955e+02,5.199924827563902596e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.633555885361068931e+02,5.019838767600000295e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.601300963849233767e+02,5.745657036335338574e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.594428356265049729e+02,5.972265097127793609e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.600512686989233657e+02,5.972265097127793609e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.618289063026081749e+02,7.043040530920382025e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.663789057248321797e+02,1.115999390841763699e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.568885774916217883e+02,1.491500881736629083e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.400182998587439442e+02,1.231849880351162199e+02,9.050000000000000266e-01,1.000000000000000000e+00
3.365199689465318329e+02,4.963505112963268573e+01,8.800000000000000044e-01,1.000000000000000000e+00
3.397952653030723695e+02,4.264885563215886322e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.468987582667341485e+02,4.483880731744693549e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.506996122641127727e+02,5.898945035887702204e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.495612831928226569e+02,5.120029244168863158e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.510787861475897103e+02,5.566864150321396920e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.548055577950451607e+02,6.816003009210369612e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.512585298849918445e+02,6.343917891328277392e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.473894130201070425e+02,5.923062939380463376e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.471431116989071484e+02,3.737063916297837096e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.859977725011641496e+02,1.249954159233362390e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.890551068873441523e+02,9.127847324932899653e+01,8.800000000000000044e-01,1.000000000000000000e+00
3.125121751311128833e+02,6.967501750164393570e+01,8.499999999999999778e-01,1.000000000000000000e+00
3.170045634132240480e+02,6.632750936797376085e+01,8.199999999999999512e-01,1.000000000000000000e+00
3.192484142482151697e+02,6.912092476881763048e+01,8.199999999999999512e-01,1.000000000000000000e+00
2.738252088907951247e+02,1.165056311569438350e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.544292492600320941e+02,1.134845919256462992e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.536216310705004560e+02,1.112826236435832215e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.655873867486932909e+02,1.217443278537699172e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.358581843576243386e+02,1.095221736201097116e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.183954407758648699e+02,1.110671034454255448e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.854255236678183110e+02,1.151114358309806960e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.847647229173844039e+02,9.252471976859578717e+01,8.800000000000000044e-01,1.000000000000000000e+00
3.132054055627381786e+02,8.985882143987841175e+01,8.800000000000000044e-01,1.000000000000000000e+00
3.215968565051897485e+02,9.987230717613431352e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.308069360144749567e+02,9.724392423442829170e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.294499067752923338e+02,9.629692915188317670e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.305929975059968342e+02,1.022339826374395955e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.388729850548727427e+02,2.502515726605228679e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.386422300895150101e+02,8.991814580837808535e+01,8.800000000000000044e-01,1.000000000000000000e+00
3.166351949722460404e+02,7.981489859472054604e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.725633344979762569e+02,4.858818852009275702e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.448577023262184582e+02,5.213849379385536054e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.454745876517824570e+02,8.439586260753094393e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.564085392451578400e+02,8.420327324907802335e+01,8.800000000000000044e-01,1.000000000000000000e+00
